Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,990658-annotations
Sweden,SWE,1997,2082356200,
Sweden,SWE,1998,1953620400,
Sweden,SWE,1999,2084900400,
Sweden,SWE,2000,2514462200,
Sweden,SWE,2001,2564706600,
Sweden,SWE,2002,2868461600,
Sweden,SWE,2003,2796984800,
Sweden,SWE,2004,2871428000,
Sweden,SWE,2005,3582980600,
Sweden,SWE,2006,4089663000,
Sweden,SWE,2007,4000491000,
Sweden,SWE,2008,4176202200,
Sweden,SWE,2009,4481723000,
Sweden,SWE,2010,4173369600,
Sweden,SWE,2011,4597725700,
Sweden,SWE,2012,4443420000,
Sweden,SWE,2013,4710461400,
Sweden,SWE,2014,5217117000,
Sweden,SWE,2015,7136756000,
Sweden,SWE,2016,4923179500,
Sweden,SWE,2017,5476992000,
Sweden,SWE,2018,5866577000,
Sweden,SWE,2019,5400825300,
Sweden,SWE,2020,6288414700,
Sweden,SWE,2021,5334307300,
Sweden,SWE,2022,5457970000,
Sweden,SWE,2023,5432674300,
Swedish Postcode Lottery,,2016,65720000,
Swedish Postcode Lottery,,2017,69170000,
Swedish Postcode Lottery,,2018,68810000,
Swedish Postcode Lottery,,2019,57880000,
Swedish Postcode Lottery,,2020,59080000,
Swedish Postcode Lottery,,2021,53710000,
Swedish Postcode Lottery,,2022,50840000,
Switzerland,CHE,1960,73139464,
Switzerland,CHE,1961,158655180,
Switzerland,CHE,1962,93093400,
Switzerland,CHE,1963,112275280,
Switzerland,CHE,1964,158112580,
Switzerland,CHE,1965,195757540,
Switzerland,CHE,1966,205612880,
Switzerland,CHE,1967,196832060,
Switzerland,CHE,1968,354845060,
Switzerland,CHE,1969,426711460,
Switzerland,CHE,1970,411157760,
Switzerland,CHE,1971,338045340,
Switzerland,CHE,1972,652937500,
Switzerland,CHE,1973,504412160,
Switzerland,CHE,1974,460273800,
Switzerland,CHE,1975,569279300,
Switzerland,CHE,1976,582028350,
Switzerland,CHE,1977,591478140,
Switzerland,CHE,1978,618616000,
Switzerland,CHE,1979,691871100,
Switzerland,CHE,1980,806538560,
Switzerland,CHE,1981,840412800,
Switzerland,CHE,1982,860013700,
Switzerland,CHE,1983,1101740800,
Switzerland,CHE,1984,1060672400,
Switzerland,CHE,1985,1149242500,
Switzerland,CHE,1986,1137143200,
Switzerland,CHE,1987,1196507900,
Switzerland,CHE,1988,1289473000,
Switzerland,CHE,1989,1259295000,
Switzerland,CHE,1990,1374490800,
Switzerland,CHE,1991,1549062700,
Switzerland,CHE,1992,1963437400,
Switzerland,CHE,1993,1404444500,
Switzerland,CHE,1994,1590294000,
Switzerland,CHE,1995,1505702000,
Switzerland,CHE,1996,1487382100,
Switzerland,CHE,1997,1555272200,
Switzerland,CHE,1998,1535660700,
Switzerland,CHE,1999,1743850800,
Switzerland,CHE,2000,1749104800,
Switzerland,CHE,2001,1766093200,
Switzerland,CHE,2002,1688801900,
Switzerland,CHE,2003,1996003700,
Switzerland,CHE,2004,2186623200,
Switzerland,CHE,2005,2490294300,
Switzerland,CHE,2006,2279186400,
Switzerland,CHE,2007,2181185500,
Switzerland,CHE,2008,2375854600,
Switzerland,CHE,2009,2650345500,
Switzerland,CHE,2010,2530584000,
Switzerland,CHE,2011,2856828400,
Switzerland,CHE,2012,3018092300,
Switzerland,CHE,2013,3131356700,
Switzerland,CHE,2014,3423901700,
Switzerland,CHE,2015,3654387000,
Switzerland,CHE,2016,3820417800,
Switzerland,CHE,2017,3366902800,
Switzerland,CHE,2018,3265687300,
Switzerland,CHE,2019,3320118800,
Switzerland,CHE,2020,3798664000,
Switzerland,CHE,2021,3839560700,
Switzerland,CHE,2022,4496380000,
Switzerland,CHE,2023,4787068000,
Taiwan,TWN,1988,26438144,
Taiwan,TWN,1989,34669450,
Taiwan,TWN,1990,37717348,
Taiwan,TWN,1991,184115330,
Taiwan,TWN,1992,148651360,
Taiwan,TWN,1993,86984950,
Taiwan,TWN,1994,108196110,
Taiwan,TWN,1995,112699580,
Taiwan,TWN,1996,114337860,
Taiwan,TWN,1997,90455850,
Taiwan,TWN,1998,37587310,
Taiwan,TWN,2004,511435650,
Taiwan,TWN,2005,570416800,
Taiwan,TWN,2006,585741200,
Taiwan,TWN,2007,546459300,
Taiwan,TWN,2008,441687040,
Taiwan,TWN,2009,433537150,
Taiwan,TWN,2010,397128260,
Taiwan,TWN,2011,375185150,
Taiwan,TWN,2012,307289400,
Taiwan,TWN,2013,270881340,
Taiwan,TWN,2014,272686300,
Taiwan,TWN,2015,280380830,
Taiwan,TWN,2016,362870270,
Taiwan,TWN,2017,346513660,
Taiwan,TWN,2018,303438940,
Taiwan,TWN,2019,334578430,
Taiwan,TWN,2020,518221980,
Taiwan,TWN,2021,319017600,
Taiwan,TWN,2023,408831800,
Thailand,THA,2006,84184600,
Thailand,THA,2007,71135410,
Thailand,THA,2008,179658620,
Thailand,THA,2009,40555508,
Thailand,THA,2010,4660322,
Thailand,THA,2011,22428050,
Thailand,THA,2012,11595255,
Thailand,THA,2013,36241108,
Thailand,THA,2014,68646840,
Thailand,THA,2015,68697490,
Thailand,THA,2016,185777970,
Thailand,THA,2017,144244140,
Thailand,THA,2018,139656430,
Thailand,THA,2019,152739790,
Thailand,THA,2020,73432600,
Thailand,THA,2021,81999840,
Thailand,THA,2022,71834820,
Thailand,THA,2023,71598270,
Turkey,TUR,1990,3147576,
Turkey,TUR,1991,126335580,
Turkey,TUR,1992,93172810,
Turkey,TUR,1993,63435836,
Turkey,TUR,1994,76818720,
Turkey,TUR,1995,116761700,
Turkey,TUR,1996,95836790,
Turkey,TUR,1997,86214344,
Turkey,TUR,1998,75599900,
Turkey,TUR,1999,137820300,
Turkey,TUR,2000,93600130,
Turkey,TUR,2001,94254376,
Turkey,TUR,2002,95996450,
Turkey,TUR,2003,70594890,
Turkey,TUR,2004,304421340,
Turkey,TUR,2005,472111650,
Turkey,TUR,2006,547422000,
Turkey,TUR,2007,395095580,
Turkey,TUR,2008,459899230,
Turkey,TUR,2009,466910900,
Turkey,TUR,2010,578794050,
Turkey,TUR,2011,784994940,
Turkey,TUR,2012,1558505700,
Turkey,TUR,2013,2035743600,
Turkey,TUR,2014,2365035500,
Turkey,TUR,2015,2977183200,
Turkey,TUR,2016,5059117600,
Turkey,TUR,2017,6888050700,
Turkey,TUR,2018,8315819500,
Turkey,TUR,2019,8620496000,
Turkey,TUR,2020,8700852000,
Turkey,TUR,2021,8087576600,
Turkey,TUR,2022,7116207600,
Turkey,TUR,2023,5911732000,
UBS Optimus Foundation,,2019,95770000,
UBS Optimus Foundation,,2020,105940000,
UBS Optimus Foundation,,2021,76640000,
UBS Optimus Foundation,,2022,110990000,
UN COVID-19 Multi-Partner Trust Fund,,2021,21370000,
UN COVID-19 Multi-Partner Trust Fund,,2022,-910000,
UN Capital Development Fund,,2020,11040000,
UN Capital Development Fund,,2021,11380000,
UN Capital Development Fund,,2022,13360000,
UN Institute for Disarmament Research,,2019,190000,
UN Institute for Disarmament Research,,2020,400000,
UN Institute for Disarmament Research,,2021,470000,
UN Institute for Disarmament Research,,2022,320000,
UN Peacebuilding Fund,,2007,10150000,
UN Peacebuilding Fund,,2008,33980000,
UN Peacebuilding Fund,,2009,44940000,
UN Peacebuilding Fund,,2010,53110000,
UN Peacebuilding Fund,,2011,60870000,
UN Peacebuilding Fund,,2012,60810000,
UN Peacebuilding Fund,,2013,42590000,
UN Peacebuilding Fund,,2014,64110000,
UN Peacebuilding Fund,,2015,77890000,
UN Peacebuilding Fund,,2016,51610000,
UN Peacebuilding Fund,,2017,58730000,
UN Peacebuilding Fund,,2018,123840000,
UN Peacebuilding Fund,,2019,155650000,
UN Peacebuilding Fund,,2020,180480000,
UN Peacebuilding Fund,,2021,188010000,
UN Peacebuilding Fund,,2022,179050000,
UN Women,,2021,147670000,
UN Women,,2022,159440000,
UNAIDS,,2005,145160000,
UNAIDS,,2006,206310000,
UNAIDS,,2007,205290000,
UNAIDS,,2008,212060000,
UNAIDS,,2009,256140020,
UNAIDS,,2010,256220000,
UNAIDS,,2011,261250000,
UNAIDS,,2012,244230000,
UNAIDS,,2013,245630000,
UNAIDS,,2014,237550000,
UNAIDS,,2015,265579980,
UNAIDS,,2016,205490000,
UNAIDS,,2017,179200000,
UNAIDS,,2018,197180000,
UNAIDS,,2019,140410000,
UNAIDS,,2020,132550000,
UNAIDS,,2021,85550000,
UNAIDS,,2022,92940000,
UNDP,,1968,1623180000,
UNDP,,1969,1129940000,
UNDP,,1970,1308630000,
UNDP,,1971,1461760000,
UNDP,,1972,1483680000,
UNDP,,1973,1254400000,
UNDP,,1974,1189370000,
UNDP,,1975,1537969900,
UNDP,,1976,1331760000,
UNDP,,1977,1116310000,
UNDP,,1978,1260810100,
UNDP,,1979,1365560000,
UNDP,,1980,1601320000,
UNDP,,1981,1955880100,
UNDP,,1982,1816680100,
UNDP,,1983,1567690000,
UNDP,,1984,1541440000,
UNDP,,1985,1637900000,
UNDP,,1986,1630640000,
UNDP,,1987,1438490000,
UNDP,,1988,1556480000,
UNDP,,1989,1644000000,
UNDP,,1990,1402810100,
UNDP,,1991,1378839900,
UNDP,,1992,1117729900,
UNDP,,1993,981940030,
UNDP,,1994,758490000,
UNDP,,1995,614520000,
UNDP,,1996,722619970,
UNDP,,1997,928140000,
UNDP,,1998,852059970,
UNDP,,1999,706310000,
UNDP,,2000,561930000,
UNDP,,2001,429950000,
UNDP,,2002,405760000,
UNDP,,2003,389029980,
UNDP,,2004,454380000,
UNDP,,2005,471040000,
UNDP,,2006,498410020,
UNDP,,2007,467050000,
UNDP,,2008,502850020,
UNDP,,2009,664530050,
UNDP,,2010,627680000,
UNDP,,2011,481850020,
UNDP,,2012,487800000,
UNDP,,2013,463750000,
UNDP,,2014,456950000,
UNDP,,2015,462620000,
UNDP,,2016,417869980,
UNDP,,2017,376050000,
UNDP,,2018,313869980,
UNDP,,2019,392930000,
UNDP,,2020,409530000,
UNDP,,2021,392920000,
UNDP,,2022,432650000,
UNECE,,2008,10960000,
UNECE,,2009,13550000,
UNECE,,2010,12400000,
UNECE,,2011,12290000,
UNECE,,2012,12390000,
UNECE,,2013,14250000,
UNECE,,2014,13910000,
UNECE,,2015,14940000,
UNECE,,2016,15480000,
UNECE,,2017,15560000,
UNEP,,2015,137760000,
UNEP,,2016,87800000,
UNEP,,2022,207520000,
UNFPA,,1977,229320000,
UNFPA,,1979,391500000,
UNFPA,,1980,362800000,
UNFPA,,1981,319440000,
UNFPA,,1982,288010020,
UNFPA,,1983,309970020,
UNFPA,,1984,307360000,
UNFPA,,1985,328900000,
UNFPA,,1986,214140000,
UNFPA,,1987,194940000,
UNFPA,,1988,219440000,
UNFPA,,1989,264000000,
UNFPA,,1990,274920000,
UNFPA,,1991,251750000,
UNFPA,,1992,178080000,
UNFPA,,1993,191910000,
UNFPA,,1994,274980000,
UNFPA,,1995,280600000,
UNFPA,,1996,279770000,
UNFPA,,1997,298950000,
UNFPA,,1998,301050000,
UNFPA,,1999,256799980,
UNFPA,,2000,191750000,
UNFPA,,2001,474589980,
UNFPA,,2002,458190000,
UNFPA,,2003,355440000,
UNFPA,,2004,237720000,
UNFPA,,2005,237610000,
UNFPA,,2006,242440000,
UNFPA,,2007,230090000,
UNFPA,,2008,277410020,
UNFPA,,2009,365160000,
UNFPA,,2010,327060000,
UNFPA,,2011,308820000,
UNFPA,,2012,335429980,
UNFPA,,2013,352549980,
UNFPA,,2014,337530000,
UNFPA,,2015,344780000,
UNFPA,,2016,285820000,
UNFPA,,2017,233420000,
UNFPA,,2018,220200000,
UNFPA,,2019,441360000,
UNFPA,,2020,441840000,
UNFPA,,2021,320060000,
UNFPA,,2022,518810000,
UNHCR,,1969,51150000,
UNHCR,,1970,51740000,
UNHCR,,1971,54910000,
UNHCR,,1972,124400000,
UNHCR,,1973,128899990,
UNHCR,,1974,161870000,
UNHCR,,1975,264799980,
UNHCR,,1976,346280000,
UNHCR,,1977,357000000,
UNHCR,,1978,370850020,
UNHCR,,1979,657860000,
UNHCR,,1980,1126459900,
UNHCR,,1981,1082020000,
UNHCR,,1982,931040000,
UNHCR,,1983,903200000,
UNHCR,,1984,1025349950,
UNHCR,,1985,1078790000,
UNHCR,,1986,820059970,
UNHCR,,1987,727340000,
UNHCR,,1988,811330050,
UNHCR,,1989,824170000,
UNHCR,,1990,716600000,
UNHCR,,1991,1160160000,
UNHCR,,1992,1446470000,
UNHCR,,1993,1804390000,
UNHCR,,1994,1430130000,
UNHCR,,1995,1073490000,
UNHCR,,1996,365709980,
UNHCR,,1997,361570020,
UNHCR,,1998,332429980,
UNHCR,,1999,351360000,
UNHCR,,2000,709150000,
UNHCR,,2001,830410000,
UNHCR,,2002,935810000,
UNHCR,,2003,701520000,
UNHCR,,2004,421080000,
UNHCR,,2005,265420020,
UNHCR,,2006,210170000,
UNHCR,,2007,273560000,
UNHCR,,2008,281840000,
UNHCR,,2009,317029980,
UNHCR,,2010,409269980,
UNHCR,,2011,434330000,
UNHCR,,2012,427670000,
UNHCR,,2013,416060000,
UNHCR,,2014,477829980,
UNHCR,,2015,507060000,
UNHCR,,2016,557380030,
UNHCR,,2017,566000000,
UNHCR,,2018,499149980,
UNHCR,,2019,708700000,
UNHCR,,2020,647179970,
UNHCR,,2021,579080000,
UNHCR,,2022,630250000,
UNICEF,,1969,269910000,
UNICEF,,1970,330640000,
UNICEF,,1971,267370000,
UNICEF,,1972,312630000,
UNICEF,,1973,271560000,
UNICEF,,1974,447060000,
UNICEF,,1975,489670000,
UNICEF,,1976,376890020,
UNICEF,,1977,439850020,
UNICEF,,1978,504040000,
UNICEF,,1979,552740000,
UNICEF,,1980,598160000,
UNICEF,,1981,530580030,
UNICEF,,1982,520210020,
UNICEF,,1983,625290000,
UNICEF,,1984,631570000,
UNICEF,,1985,718850000,
UNICEF,,1986,691130000,
UNICEF,,1987,667450000,
UNICEF,,1988,680280000,
UNICEF,,1989,843850000,
UNICEF,,1990,898890000,
UNICEF,,1991,868030000,
UNICEF,,1992,1039380030,
UNICEF,,1993,1144400000,
UNICEF,,1994,1089660000,
UNICEF,,1995,1001659970,
UNICEF,,1996,881040000,
UNICEF,,1997,711380030,
UNICEF,,1998,681970000,
UNICEF,,1999,784219970,
UNICEF,,2000,829850000,
UNICEF,,2001,915290000,
UNICEF,,2002,837390000,
UNICEF,,2003,826290000,
UNICEF,,2004,789690000,
UNICEF,,2005,839400000,
UNICEF,,2006,840760000,
UNICEF,,2007,1043060030,
UNICEF,,2008,998800000,
UNICEF,,2009,1144810100,
UNICEF,,2010,1090300000,
UNICEF,,2011,1071990000,
UNICEF,,2012,1150410000,
UNICEF,,2013,1225910000,
UNICEF,,2014,1289180000,
UNICEF,,2015,1535520000,
UNICEF,,2016,1595620000,
UNICEF,,2017,1646800000,
UNICEF,,2018,1553200000,
UNICEF,,2019,1070890000,
UNICEF,,2020,993290000,
UNICEF,,2021,866370000,
UNICEF,,2022,897570000,
UNRWA,,1969,291330000,
UNRWA,,1970,313500000,
UNRWA,,1971,251330000,
UNRWA,,1972,247010000,
UNRWA,,1973,258340000,
UNRWA,,1974,336320000,
UNRWA,,1975,378589980,
UNRWA,,1976,374060000,
UNRWA,,1977,412869980,
UNRWA,,1978,329630000,
UNRWA,,1979,357860000,
UNRWA,,1980,380580000,
UNRWA,,1981,421610000,
UNRWA,,1982,597090050,
UNRWA,,1983,535800000,
UNRWA,,1984,494500000,
UNRWA,,1985,483520000,
UNRWA,,1986,395490000,
UNRWA,,1987,379460000,
UNRWA,,1988,393029980,
UNRWA,,1989,446220000,
UNRWA,,1990,450180000,
UNRWA,,1991,454640000,
UNRWA,,1992,428850020,
UNRWA,,1993,429160000,
UNRWA,,1994,450020000,
UNRWA,,1995,425020000,
UNRWA,,1996,308100000,
UNRWA,,1997,364930000,
UNRWA,,1998,420140000,
UNRWA,,1999,397340000,
UNRWA,,2000,433060000,
UNRWA,,2001,547870000,
UNRWA,,2002,579370000,
UNRWA,,2003,564660000,
UNRWA,,2004,545229950,
UNRWA,,2005,413480000,
UNRWA,,2006,424530000,
UNRWA,,2007,412970020,
UNRWA,,2008,480240000,
UNRWA,,2009,498330000,
UNRWA,,2010,568170000,
UNRWA,,2011,598280000,
UNRWA,,2012,673460030,
UNRWA,,2013,536880000,
UNRWA,,2014,676909950,
UNRWA,,2015,848960000,
UNRWA,,2016,793820000,
UNRWA,,2017,968970000,
UNRWA,,2018,790260030,
UNRWA,,2019,810380000,
UNRWA,,2020,796190000,
UNRWA,,2021,705500000,
UNRWA,,2022,851480000,
UNTA,,1969,260200020,
UNTA,,1970,346400000,
UNTA,,1971,269260000,
UNTA,,1972,268140020,
UNTA,,1973,233630000,
UNTA,,1974,307040000,
UNTA,,1975,265579980,
UNTA,,1976,287810000,
UNTA,,1977,325040000,
UNTA,,1978,343320000,
UNTA,,1979,305840000,
UNTA,,1980,84690000,
UNTA,,1981,519410000,
UNTA,,1982,497230000,
UNTA,,1983,643739970,
UNTA,,1984,561770050,
UNTA,,1985,762250000,
UNTA,,1986,537900000,
UNTA,,1987,574900030,
UNTA,,1988,456960000,
UNTA,,1989,410460000,
UNTA,,1990,354600000,
UNTA,,1991,417500000,
UNTA,,1992,330510000,
UNTA,,1993,488100000,
UNTA,,1994,374400000,
UNTA,,1995,702960000,
UNTA,,1996,338080000,
UNTA,,1997,601400000,
UNTA,,1998,397680000,
UNTA,,1999,595210050,
UNTA,,2000,654320000,
UNTA,,2001,625750000,
UNTA,,2002,688619970,
UNTA,,2003,661270000,
UNTA,,2004,527060000,
UNTA,,2005,684850000,
UNTA,,2006,423210000,
UNTA,,2007,490820000,
UNTA,,2008,654890000,
United Arab Emirates,ARE,1970,3335833,
United Arab Emirates,ARE,1971,609162100,
United Arab Emirates,ARE,1972,627038340,
United Arab Emirates,ARE,1973,3070649300,
United Arab Emirates,ARE,1974,4680489500,
United Arab Emirates,ARE,1975,7707906600,
United Arab Emirates,ARE,1976,8820534000,
United Arab Emirates,ARE,1977,6331495400,
United Arab Emirates,ARE,1978,5262588000,
United Arab Emirates,ARE,1979,4724872700,
United Arab Emirates,ARE,1980,5397108000,
United Arab Emirates,ARE,1981,4111333400,
United Arab Emirates,ARE,1982,2598921500,
United Arab Emirates,ARE,1983,1542237300,
United Arab Emirates,ARE,1984,834819650,
United Arab Emirates,ARE,1985,943281800,
United Arab Emirates,ARE,1986,597670300,
United Arab Emirates,ARE,1987,606380540,
United Arab Emirates,ARE,1988,172741700,
United Arab Emirates,ARE,1989,541409150,
United Arab Emirates,ARE,1990,3807236000,
United Arab Emirates,ARE,1991,2277051400,
United Arab Emirates,ARE,1992,811513700,
United Arab Emirates,ARE,1993,863627140,
United Arab Emirates,ARE,1994,496389800,
United Arab Emirates,ARE,1995,295876060,
United Arab Emirates,ARE,1996,396662700,
United Arab Emirates,ARE,1997,847545860,
United Arab Emirates,ARE,1998,1324776400,
United Arab Emirates,ARE,1999,816120450,
United Arab Emirates,ARE,2000,574819840,
United Arab Emirates,ARE,2001,742738700,
United Arab Emirates,ARE,2002,824378940,
United Arab Emirates,ARE,2003,1216207400,
United Arab Emirates,ARE,2004,588960100,
United Arab Emirates,ARE,2005,602102660,
United Arab Emirates,ARE,2006,893660740,
United Arab Emirates,ARE,2007,2578767400,
United Arab Emirates,ARE,2008,1284617100,
United Arab Emirates,ARE,2009,997688700,
United Arab Emirates,ARE,2010,431439520,
United Arab Emirates,ARE,2011,706399900,
United Arab Emirates,ARE,2012,766104260,
United Arab Emirates,ARE,2013,5384236500,
United Arab Emirates,ARE,2014,5056566000,
United Arab Emirates,ARE,2015,4821998000,
United Arab Emirates,ARE,2016,4698579500,
United Arab Emirates,ARE,2017,4293791500,
United Arab Emirates,ARE,2018,4283595300,
United Arab Emirates,ARE,2019,2637486300,
United Arab Emirates,ARE,2020,1821177900,
United Arab Emirates,ARE,2021,1259115600,
United Arab Emirates,ARE,2022,1560291000,
United Arab Emirates,ARE,2023,1689617800,
United Kingdom,GBR,1960,4306214400,
United Kingdom,GBR,1961,4668389400,
United Kingdom,GBR,1962,4144592000,
United Kingdom,GBR,1963,4031423000,
United Kingdom,GBR,1964,4645243400,
United Kingdom,GBR,1965,4190053000,
United Kingdom,GBR,1966,4100580600,
United Kingdom,GBR,1967,4078011400,
United Kingdom,GBR,1968,3824157400,
United Kingdom,GBR,1969,4116387600,
United Kingdom,GBR,1970,3780852700,
United Kingdom,GBR,1971,4420589600,
United Kingdom,GBR,1972,4346904000,
United Kingdom,GBR,1973,3926527000,
United Kingdom,GBR,1974,4293503500,
United Kingdom,GBR,1975,4134592800,
United Kingdom,GBR,1976,4315677000,
United Kingdom,GBR,1977,4915758000,
United Kingdom,GBR,1978,5256785400,
United Kingdom,GBR,1979,6121662500,
United Kingdom,GBR,1980,3992979000,
United Kingdom,GBR,1981,4858120700,
United Kingdom,GBR,1982,4251010300,
United Kingdom,GBR,1983,4150786600,
United Kingdom,GBR,1984,3989441300,
United Kingdom,GBR,1985,4199541500,
United Kingdom,GBR,1986,3996165400,
United Kingdom,GBR,1987,3656920800,
United Kingdom,GBR,1988,4476631600,
United Kingdom,GBR,1989,4408208000,
United Kingdom,GBR,1990,3814511400,
United Kingdom,GBR,1991,4366349300,
United Kingdom,GBR,1992,4304360400,
United Kingdom,GBR,1993,4398683600,
United Kingdom,GBR,1994,4638230500,
United Kingdom,GBR,1995,4390926000,
United Kingdom,GBR,1996,4259652400,
United Kingdom,GBR,1997,4362107400,
United Kingdom,GBR,1998,4792530400,
United Kingdom,GBR,1999,4293272800,
United Kingdom,GBR,2000,5959965000,
United Kingdom,GBR,2001,6260142600,
United Kingdom,GBR,2002,6352171500,
United Kingdom,GBR,2003,7241379000,
United Kingdom,GBR,2004,7937748000,
United Kingdom,GBR,2005,10593011000,
United Kingdom,GBR,2006,11774963000,
United Kingdom,GBR,2007,8370720000,
United Kingdom,GBR,2008,10455145000,
United Kingdom,GBR,2009,11661022000,
United Kingdom,GBR,2010,13431865000,
United Kingdom,GBR,2011,13419117000,
United Kingdom,GBR,2012,13427515000,
United Kingdom,GBR,2013,17144219000,
United Kingdom,GBR,2014,17320870000,
United Kingdom,GBR,2015,17857692000,
United Kingdom,GBR,2016,19293790000,
United Kingdom,GBR,2017,19896742000,
United Kingdom,GBR,2018,20257532000,
United Kingdom,GBR,2019,20623350000,
United Kingdom,GBR,2020,19435944000,
United Kingdom,GBR,2021,15339913000,
United Kingdom,GBR,2022,15761320000,
United Kingdom,GBR,2023,17251987000,
United Nations,,1960,918450000,
United Nations,,1961,1239130000,
United Nations,,1962,1291720000,
United Nations,,1963,1583450000,
United Nations,,1964,1626280100,
United Nations,,1965,1427270000,
United Nations,,1966,1783920000,
United Nations,,1967,1620190000,
United Nations,,1968,1623180000,
United Nations,,1969,2432820000,
United Nations,,1970,3053790000,
United Nations,,1971,3180290000,
United Nations,,1972,3132470000,
United Nations,,1973,3018690000,
United Nations,,1974,3406250000,
United Nations,,1975,4532610000,
United Nations,,1976,3788090000,
United Nations,,1977,4139100200,
United Nations,,1978,4045910000,
United Nations,,1979,5021910000,
United Nations,,1980,5591670000,
United Nations,,1981,6358270000,
United Nations,,1982,6428600300,
United Nations,,1983,6550879700,
United Nations,,1984,6758000000,
United Nations,,1985,7718200300,
United Nations,,1986,6272089600,
United Nations,,1987,5968360000,
United Nations,,1988,5785970000,
United Nations,,1989,5912080000,
United Nations,,1990,5910480000,
United Nations,,1991,6673600000,
United Nations,,1992,6857880000,
United Nations,,1993,7290390000,
United Nations,,1994,6381490000,
United Nations,,1995,5536200000,
United Nations,,1996,3576239900,
United Nations,,1997,3803080200,
United Nations,,1998,3555740000,
United Nations,,1999,3765230000,
United Nations,,2000,4099870200,
United Nations,,2001,4655160300,
United Nations,,2002,4642390000,
United Nations,,2003,4120640300,
United Nations,,2004,3481990000,
United Nations,,2005,3946450000,
United Nations,,2006,3728800000,
United Nations,,2007,3799919900,
United Nations,,2008,4203220200,
United Nations,,2009,4381330000,
United Nations,,2010,4367440000,
United Nations,,2011,4451500000,
United Nations,,2012,4912980000,
United Nations,,2013,5390460000,
United Nations,,2014,4944370000,
United Nations,,2015,5974440000,
United Nations,,2016,5773560000,
United Nations,,2017,6755980000,
United Nations,,2018,6131120000,
United Nations,,2019,6615320000,
United Nations,,2020,6319140400,
United Nations,,2021,6156270000,
United Nations,,2022,7002440000,
United Nations Conference on Trade and Development (UNCTAD),,2020,2420000,
United Nations Conference on Trade and Development (UNCTAD),,2021,1740000,
United Nations Conference on Trade and Development (UNCTAD),,2022,4790000,
United Nations Industrial Development Organization (UNIDO),,2020,3760000,
United Nations Industrial Development Organization (UNIDO),,2021,4250000,
United Nations Industrial Development Organization (UNIDO),,2022,5320000,
United States,USA,1960,21011476000,
United States,USA,1961,22796593000,
United States,USA,1962,24689527000,
United States,USA,1963,26346123000,
United States,USA,1964,26106448000,
United States,USA,1965,28632840000,
United States,USA,1966,26447696000,
United States,USA,1967,22177898000,
United States,USA,1968,24765995000,
United States,USA,1969,20769087000,
United States,USA,1970,18424600000,
United States,USA,1971,17308795000,
United States,USA,1972,21102074000,
United States,USA,1973,13420424000,
United States,USA,1974,17033159000,
United States,USA,1975,17657524000,
United States,USA,1976,17538087000,
United States,USA,1977,17731564000,
United States,USA,1978,20038275000,
United States,USA,1979,15303053000,
United States,USA,1980,21388388000,
United States,USA,1981,15827624000,
United States,USA,1982,21145657000,
United States,USA,1983,20048437000,
United States,USA,1984,20858851000,
United States,USA,1985,21825630000,
United States,USA,1986,21761090000,
United States,USA,1987,20238098000,
United States,USA,1988,21748945000,
United States,USA,1989,15843338000,
United States,USA,1990,22665802000,
United States,USA,1991,21670367000,
United States,USA,1992,22028490000,
United States,USA,1993,18603735000,
United States,USA,1994,17862134000,
United States,USA,1995,12983579000,
United States,USA,1996,16228884000,
United States,USA,1997,11702040000,
United States,USA,1998,14782093000,
United States,USA,1999,15171873000,
United States,USA,2000,16149228000,
United States,USA,2001,18132860000,
United States,USA,2002,20762280000,
United States,USA,2003,25001404000,
United States,USA,2004,29397280000,
United States,USA,2005,40408183000,
United States,USA,2006,33021403000,
United States,USA,2007,29765968000,
United States,USA,2008,35436030000,
United States,USA,2009,38408815000,
United States,USA,2010,39033532000,
United States,USA,2011,39933678000,
United States,USA,2012,38806323000,
United States,USA,2013,38921610000,
United States,USA,2014,40492970000,
United States,USA,2015,37562794000,
United States,USA,2016,41334657000,
United States,USA,2017,40974356000,
United States,USA,2018,38966936000,
United States,USA,2019,37409042000,
United States,USA,2020,39625780000,
United States,USA,2021,50874634000,
United States,USA,2022,60328680000,
United States,USA,2023,63497056000,
WFP,,1969,430280000,
WFP,,1970,702880000,
WFP,,1971,875669950,
WFP,,1972,696600000,
WFP,,1973,871860000,
WFP,,1974,964570000,
WFP,,1975,1596000000,
WFP,,1976,1071280000,
WFP,,1977,1258720000,
WFP,,1978,1237260000,
WFP,,1979,1383620000,
WFP,,1980,1307540100,
WFP,,1981,1343300100,
WFP,,1982,1512920000,
WFP,,1983,1599569900,
WFP,,1984,1755860000,
WFP,,1985,2010970000,
WFP,,1986,1375110000,
WFP,,1987,1316449900,
WFP,,1988,1495420000,
WFP,,1989,1282209900,
WFP,,1990,1435240000,
WFP,,1991,1969510000,
WFP,,1992,2207790000,
WFP,,1993,2132960000,
WFP,,1994,1905690000,
WFP,,1995,1333300100,
WFP,,1996,482780000,
WFP,,1997,385920000,
WFP,,1998,380020000,
WFP,,1999,492090000,
WFP,,2000,513309980,
WFP,,2001,578070000,
WFP,,2002,517930000,
WFP,,2003,418350000,
WFP,,2004,306910000,
WFP,,2005,654880000,
WFP,,2006,540619970,
WFP,,2007,247460000,
WFP,,2008,321020000,
